average_precision,bin,bin_count,bin_high,bin_low,brier,calibration,ece_10bin,fn_at_0.5,fp_at_0.5,hyperparameters,inner_average_precision,mean_predicted,model,observed_frequency,outer_fold,policy_accuracy,policy_accuracy_difference_vs_n16_pp,policy_adaptive_only_correct,policy_both_correct,policy_both_wrong,policy_compute_reduction_vs_n16_pct,policy_mean_samples,policy_mean_tokens,policy_median_samples,policy_missed_recoveries,policy_n16_only_correct,policy_n_questions,policy_premature_stop_errors,policy_regressions_avoided,policy_total_samples,policy_total_tokens,positive_prevalence,recovery_precision_at_0.5,recovery_recall_at_0.5,roc_auc,row_type,selected_lambda_error,selected_tau,threshold_selection_rule,tn_at_0.5,tp_at_0.5
,3,236,0.30000000000000004,0.2,,isotonic,,,,,,0.2490781914524945,logistic,0.16101694915254236,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,4,124,0.4,0.30000000000000004,,isotonic,,,,,,0.31962660994919057,logistic,0.2661290322580645,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,5,46,0.5,0.4,,isotonic,,,,,,0.4136001112728035,logistic,0.10869565217391304,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,6,2,0.6000000000000001,0.5,,isotonic,,,,,,0.5028418218573479,logistic,0.5,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,7,1,0.7000000000000001,0.6000000000000001,,isotonic,,,,,,0.6434761853288253,logistic,1.0,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,8,1,0.8,0.7000000000000001,,isotonic,,,,,,0.7519156790799159,logistic,0.0,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,10,2,1.0,0.9,,isotonic,,,,,,0.9970177153984656,logistic,0.0,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
0.19807183240597082,,,,,0.030572833397775775,sigmoid,0.009688706181072305,264,0,,,,logistic,,all,0.772,-1.6,10,376,96,77.98390121332189,3.124,1954.794,2.0,18,18,500,106,10,1562,977397,0.0352,0.0,0.0,0.8929636330133842,aggregate_metric,,,,7236,0
,1,6848,0.1,0.0,,sigmoid,,,,,,0.012480921817309316,logistic,0.018399532710280372,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,2,361,0.2,0.1,,sigmoid,,,,,,0.14322492660107844,logistic,0.1883656509695291,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,3,154,0.30000000000000004,0.2,,sigmoid,,,,,,0.24469959074298647,logistic,0.2077922077922078,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,4,121,0.4,0.30000000000000004,,sigmoid,,,,,,0.3410771155475558,logistic,0.2975206611570248,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,5,16,0.5,0.4,,sigmoid,,,,,,0.43029871939322745,logistic,0.125,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
0.118878927533217,,,,,0.07723252960725503,uncalibrated,0.09335307664256015,182,559,,,,logistic,,all,0.772,-1.6,8,378,98,71.42182672912163,4.034,2537.436,3.0,16,16,500,96,8,2017,1268718,0.0352,0.12792511700468018,0.3106060606060606,0.8024691358024691,aggregate_metric,,,,6677,82
,1,5377,0.1,0.0,,uncalibrated,,,,,,0.018882836762404716,logistic,0.015436116793751162,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,2,624,0.2,0.1,,uncalibrated,,,,,,0.14345312485488992,logistic,0.06570512820512821,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,3,368,0.30000000000000004,0.2,,uncalibrated,,,,,,0.25063386503337876,logistic,0.09510869565217392,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,4,286,0.4,0.30000000000000004,,uncalibrated,,,,,,0.3527469437760602,logistic,0.04895104895104895,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,5,204,0.5,0.4,,uncalibrated,,,,,,0.46741903600552054,logistic,0.04411764705882353,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,6,144,0.6000000000000001,0.5,,uncalibrated,,,,,,0.5277916349248927,logistic,0.09722222222222222,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,7,91,0.7000000000000001,0.6000000000000001,,uncalibrated,,,,,,0.6534388019577905,logistic,0.03296703296703297,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,8,107,0.8,0.7000000000000001,,uncalibrated,,,,,,0.7537182426216614,logistic,0.06542056074766354,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,9,142,0.9,0.8,,uncalibrated,,,,,,0.8516399554135364,logistic,0.14788732394366197,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
,10,157,1.0,0.9,,uncalibrated,,,,,,0.9400145732761371,logistic,0.2356687898089172,all,,,,,,,,,,,,,,,,,,,,,reliability_bin,,,,,
